player,CLR,COR,FC,FK,FS,G,GA,GC,GK,MINS,PAS,PEN,R,S,SAV,TA,Y,position,team,field,opponent,kickoff,attendance
J. Bernat,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,substitute,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
J. Kimmich,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,substitute,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
Rafinha,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,substitute,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
M. Neuer,0,0,0,0,0,0,0,0,3,90,0,0,0,0,2,0,0,goalkeeper,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
D. Alaba,0,0,0,0,1,0,0,0,0,78,0,0,0,0,0,1,0,defender,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
Javi Martínez,2,0,0,0,0,0,0,0,0,90,0,0,0,1,0,1,0,defender,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
M. Hummels,1,0,1,0,0,0,0,0,0,90,0,0,0,0,0,4,0,defender,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
P. Lahm,0,0,0,0,0,1,0,0,0,74,0,0,0,1,0,0,0,defender,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
A. Vidal,0,0,0,0,0,0,0,0,0,90,103,0,0,3,0,0,0,midfielder,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
Thiago Alcántara,0,3,2,0,1,0,0,0,0,90,121,0,0,0,0,0,0,midfielder,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
X. Alonso,0,0,2,0,0,1,0,0,0,64,61,0,0,1,0,0,0,midfielder,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
F. Ribéry,0,4,1,0,2,1,1,0,0,90,71,0,0,2,0,0,0,forward,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
R. Lewandowski,0,0,0,0,1,3,0,0,0,90,18,1,0,8,0,0,0,forward,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
T. Müller,0,1,1,0,1,0,3,0,0,90,51,0,0,4,0,0,0,forward,FC Bayern München,home,SV Werder Bremen,8/26/2016,75000
J. Sternberg,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,1,substitute,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
L. Thy,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,substitute,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
M. Eggestein,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,substitute,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
F. Wiedwald,0,0,0,0,0,0,0,6,6,90,0,0,0,0,8,0,0,goalkeeper,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
F. Diagne,4,0,0,0,1,0,0,0,0,90,0,0,0,0,0,0,0,defender,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
L. Caldirola,2,0,1,0,0,0,0,0,0,90,0,0,0,1,0,1,0,defender,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
Lamine Sané,7,0,0,0,0,0,0,0,0,90,0,0,0,0,0,3,0,defender,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
T. Gebre Selassie,5,0,1,0,2,0,0,0,0,90,0,0,0,1,0,4,0,defender,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
C. Fritz,0,0,0,0,4,0,0,0,0,90,29,0,0,0,0,0,0,midfielder,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
F. Bartels,0,0,0,0,0,0,0,0,0,88,18,0,0,1,0,0,0,midfielder,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
F. Grillitsch,0,1,1,0,0,0,0,0,0,74,45,0,0,0,0,0,0,midfielder,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
R. Bauer,0,0,1,0,0,0,0,0,0,90,25,0,0,0,0,0,0,midfielder,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
S. Yatabaré,0,0,2,0,0,0,0,0,0,90,25,0,0,0,0,0,0,midfielder,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
A. Jóhannsson,0,0,0,0,0,0,0,0,0,64,20,0,0,0,0,0,0,forward,SV Werder Bremen,away,FC Bayern München,8/26/2016,75000
M. Jojic,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,substitute,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
S. Zoller,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,1,substitute,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
Y. Osako,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,substitute,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
T. Horn,0,0,0,0,0,0,0,0,6,90,0,0,0,0,3,0,0,goalkeeper,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
D. Maroh,4,0,1,0,0,0,0,0,0,89,0,0,0,1,0,3,1,defender,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
F. Sörensen,4,0,1,0,1,0,0,0,0,90,0,0,0,1,0,3,0,defender,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
J. Hector,3,4,1,0,0,0,0,0,0,90,0,0,0,0,0,1,0,defender,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
M. Mavraj,3,0,1,0,3,0,0,0,0,90,0,0,0,0,0,2,0,defender,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
L. Bittencourt,0,0,3,0,4,0,0,0,0,74,30,0,0,5,0,0,1,midfielder,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
M. Höger,0,0,0,0,1,0,0,0,0,90,70,0,0,0,0,0,0,midfielder,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
M. Lehmann,0,0,0,0,0,0,0,0,0,90,59,0,0,0,0,0,0,midfielder,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
M. Risse,0,2,1,0,1,1,0,0,0,90,37,0,0,2,0,0,0,midfielder,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
A. Modeste,0,0,1,0,4,1,0,0,0,87,13,0,0,5,0,0,0,forward,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
A. Rudnevs,0,0,0,0,1,0,1,0,0,70,19,0,0,3,0,0,0,forward,1. FC Köln,home,SV Darmstadt 98,8/27/2016,50000
D. Oliinyk,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,substitute,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
F. Jungwirth,0,0,1,0,1,0,0,0,0,20,0,0,0,0,0,0,0,substitute,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
S. Sirigu,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,substitute,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
M. Esser,0,0,0,0,0,0,0,2,14,90,0,0,0,0,6,0,0,goalkeeper,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
A. Fedetskyy,1,0,3,0,1,0,0,0,0,56,0,0,0,0,0,2,1,defender,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
Alexander Milosevic,2,0,0,0,0,0,0,0,0,90,0,0,0,2,0,0,0,defender,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
F. Holland,1,0,1,0,0,0,0,0,0,90,0,0,0,0,0,1,1,defender,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
I. Höhn,0,0,2,0,0,0,0,0,0,90,0,0,0,1,0,1,1,defender,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
J. Gondorf,0,4,1,1,3,0,0,0,0,90,30,0,0,1,0,0,0,midfielder,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
L. Kleinheisler,0,0,1,0,2,0,0,0,0,85,25,0,0,0,0,0,0,midfielder,SV Darmstadt 98,away,1. FC Köln,8/27/2016,50000
