player,CLR,COR,FC,FK,FS,G,GA,GC,GK,MINS,PAS,PEN,R,S,SAV,TA,Y,position,team,field,opponent,kickoff,attendance
Charles,0,0,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,substitute,Málaga,home,Osasuna,8/19/2016,22199
G. Castro,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,substitute,Málaga,home,Osasuna,8/19/2016,22199
Z. Kuzmanovic,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,substitute,Málaga,home,Osasuna,8/19/2016,22199
C. Kameni,0,0,0,0,0,0,0,1,6,90,0,0,0,0,2,0,0,goalkeeper,Málaga,home,Osasuna,8/19/2016,22199
Bakary Koné,2,0,0,0,0,0,0,0,0,90,0,0,0,0,0,4,0,defender,Málaga,home,Osasuna,8/19/2016,22199
Diego Llorente,4,0,1,0,0,0,0,0,0,90,0,0,0,0,0,1,0,defender,Málaga,home,Osasuna,8/19/2016,22199
F. Ricca,1,0,2,0,2,0,0,0,0,90,0,0,0,1,0,2,0,defender,Málaga,home,Osasuna,8/19/2016,22199
R. Rosales,1,0,1,0,0,0,0,0,0,90,0,0,0,0,0,1,0,defender,Málaga,home,Osasuna,8/19/2016,22199
I. Camacho,0,0,0,0,0,0,0,0,0,90,57,0,0,0,0,0,0,midfielder,Málaga,home,Osasuna,8/19/2016,22199
Jony,0,1,0,0,1,0,1,0,0,71,30,0,0,0,0,0,0,midfielder,Málaga,home,Osasuna,8/19/2016,22199
Juanpi,0,3,0,0,1,1,0,0,0,90,36,0,0,2,0,0,1,midfielder,Málaga,home,Osasuna,8/19/2016,22199
Keko,0,0,4,0,7,0,0,0,0,45,11,0,0,0,0,0,1,midfielder,Málaga,home,Osasuna,8/19/2016,22199
Recio,0,1,2,0,2,0,0,0,0,90,48,0,0,0,0,0,0,midfielder,Málaga,home,Osasuna,8/19/2016,22199
S. Ramírez,0,0,1,0,3,0,0,0,0,78,12,0,0,4,0,0,0,forward,Málaga,home,Osasuna,8/19/2016,22199
Buñuel,0,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,1,substitute,Osasuna,away,Málaga,8/19/2016,22199
Fran Mérida,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,substitute,Osasuna,away,Málaga,8/19/2016,22199
Jaime Romero,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,substitute,Osasuna,away,Málaga,8/19/2016,22199
Nauzet,0,0,0,0,0,0,0,1,13,90,0,0,0,0,3,0,0,goalkeeper,Osasuna,away,Málaga,8/19/2016,22199
David García,2,0,3,0,0,0,0,0,0,90,0,0,0,0,0,3,0,defender,Osasuna,away,Málaga,8/19/2016,22199
Fuentes,1,0,3,0,2,0,0,0,0,49,0,0,0,0,0,1,0,defender,Osasuna,away,Málaga,8/19/2016,22199
Javier Flaño,1,0,0,0,1,0,0,0,0,90,0,0,0,0,0,3,0,defender,Osasuna,away,Málaga,8/19/2016,22199
