player,CLR,COR,FC,FK,FS,G,GA,GC,GK,MINS,PAS,PEN,R,S,SAV,TA,Y,position,team,field,opponent,kickoff,attendance
G. Danic,0,0,2,0,0,0,0,0,0,32,0,0,0,0,0,0,0,substitute,Bastia,home,Paris Saint Germain,8/12/2016,13122
Thievy,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,substitute,Bastia,home,Paris Saint Germain,8/12/2016,13122
J. Leca,0,0,0,0,0,0,0,1,10,90,0,0,0,0,5,0,1,goalkeeper,Bastia,home,Paris Saint Germain,8/12/2016,13122
A. Djiku,2,0,2,0,2,0,0,0,0,90,0,0,0,0,0,5,0,defender,Bastia,home,Paris Saint Germain,8/12/2016,13122
F. Marange,1,0,1,0,0,0,0,0,0,90,0,0,0,0,0,1,0,defender,Bastia,home,Paris Saint Germain,8/12/2016,13122
M. Peybernes,4,0,0,0,1,0,0,0,0,90,0,0,0,0,0,4,0,defender,Bastia,home,Paris Saint Germain,8/12/2016,13122
S. Squillaci,6,0,0,0,1,0,0,0,0,90,0,0,0,1,0,1,1,defender,Bastia,home,Paris Saint Germain,8/12/2016,13122
A. Saint-Maximin,0,0,0,0,1,0,0,0,0,90,22,0,0,1,0,0,0,midfielder,Bastia,home,Paris Saint Germain,8/12/2016,13122
Lassana Coulibaly,0,0,2,0,3,0,0,0,0,90,19,0,0,0,0,0,0,midfielder,Bastia,home,Paris Saint Germain,8/12/2016,13122
M. Mostefa,0,0,3,0,0,0,0,0,0,90,20,0,0,1,0,0,0,midfielder,Bastia,home,Paris Saint Germain,8/12/2016,13122
S. Diallo,0,0,0,1,1,0,0,0,0,58,14,0,0,4,0,0,0,midfielder,Bastia,home,Paris Saint Germain,8/12/2016,13122
Y. Cahuzac,0,0,2,0,1,0,0,0,0,90,25,0,0,0,0,0,1,midfielder,Bastia,home,Paris Saint Germain,8/12/2016,13122
E. Crivelli,0,0,3,0,3,0,0,0,0,81,11,0,0,1,0,0,0,forward,Bastia,home,Paris Saint Germain,8/12/2016,13122
B. Matuidi,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,1,substitute,Paris Saint Germain,away,Bastia,8/12/2016,13122
Jesé,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,substitute,Paris Saint Germain,away,Bastia,8/12/2016,13122
M. Verratti,0,0,1,0,1,0,0,0,0,15,0,0,0,0,0,0,0,substitute,Paris Saint Germain,away,Bastia,8/12/2016,13122
K. Trapp,0,0,0,0,0,0,0,0,10,90,0,0,0,0,0,0,0,goalkeeper,Paris Saint Germain,away,Bastia,8/12/2016,13122
David Luiz,1,0,2,0,1,0,0,0,0,90,0,0,0,1,0,0,0,defender,Paris Saint Germain,away,Bastia,8/12/2016,13122
L. Kurzawa,1,0,1,0,2,1,0,0,0,90,0,0,0,2,0,1,1,defender,Paris Saint Germain,away,Bastia,8/12/2016,13122
P. Kimpembe,3,0,1,0,1,0,0,0,0,90,0,0,0,0,0,1,0,defender,Paris Saint Germain,away,Bastia,8/12/2016,13122
S. Aurier,2,0,0,0,1,0,0,0,0,90,0,0,0,1,0,2,0,defender,Paris Saint Germain,away,Bastia,8/12/2016,13122
A. Rabiot,0,0,2,0,3,0,0,0,0,90,59,0,0,0,0,0,0,midfielder,Paris Saint Germain,away,Bastia,8/12/2016,13122
J. Pastore,0,0,0,0,2,0,0,0,0,75,63,0,0,0,0,0,0,midfielder,Paris Saint Germain,away,Bastia,8/12/2016,13122
Lucas Moura,0,5,3,0,0,0,0,0,0,90,38,0,0,1,0,0,0,midfielder,Paris Saint Germain,away,Bastia,8/12/2016,13122
T. Motta,0,0,3,0,0,0,0,0,0,75,68,0,0,0,0,0,1,midfielder,Paris Saint Germain,away,Bastia,8/12/2016,13122
Á. Di María,0,1,0,0,1,0,0,0,0,90,52,0,0,3,0,0,0,midfielder,Paris Saint Germain,away,Bastia,8/12/2016,13122
H. Ben Arfa,0,0,2,0,3,0,0,0,0,65,17,0,0,0,0,0,0,forward,Paris Saint Germain,away,Bastia,8/12/2016,13122
Bernardo Silva,0,0,0,0,2,1,0,0,0,49,0,0,0,0,0,0,0,substitute,Monaco,home,Guingamp,8/12/2016,0
I. Cavaleiro,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,substitute,Monaco,home,Guingamp,8/12/2016,0
João Moutinho,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,substitute,Monaco,home,Guingamp,8/12/2016,0
D. Subasic,0,0,0,0,0,0,0,2,4,90,0,0,0,0,3,0,0,goalkeeper,Monaco,home,Guingamp,8/12/2016,0
B. Mendy,2,0,2,0,0,0,0,0,0,80,0,0,0,1,0,0,1,defender,Monaco,home,Guingamp,8/12/2016,0
D. Sidibe,2,0,1,0,3,0,0,0,0,90,0,0,0,1,0,2,0,defender,Monaco,home,Guingamp,8/12/2016,0
Jemerson,4,0,1,0,0,0,0,0,0,90,0,0,0,0,0,1,0,defender,Monaco,home,Guingamp,8/12/2016,0
K. Glik,3,0,2,0,0,0,0,0,0,90,0,0,0,1,0,1,0,defender,Monaco,home,Guingamp,8/12/2016,0
Fabinho,0,0,2,0,1,1,0,0,0,90,85,1,0,1,0,0,1,midfielder,Monaco,home,Guingamp,8/12/2016,0
N. Dirar,0,1,3,0,1,0,1,0,0,90,48,0,0,1,0,0,1,midfielder,Monaco,home,Guingamp,8/12/2016,0
T. Bakayoko,0,0,3,0,1,0,0,0,0,64,43,0,0,0,0,0,0,midfielder,Monaco,home,Guingamp,8/12/2016,0
T. Lemar,0,4,0,1,3,0,0,0,0,90,57,0,0,0,0,0,0,midfielder,Monaco,home,Guingamp,8/12/2016,0
G. Carrillo,0,0,0,0,0,0,0,0,0,90,20,0,0,3,0,0,0,forward,Monaco,home,Guingamp,8/12/2016,0
K. Mbappe,0,0,0,0,2,0,0,0,0,41,11,0,0,0,0,0,0,forward,Monaco,home,Guingamp,8/12/2016,0
A. Mane,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,substitute,Guingamp,away,Monaco,8/12/2016,0
L. Blas,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,substitute,Guingamp,away,Monaco,8/12/2016,0
