player,CLR,COR,FC,FK,FS,G,GA,GC,GK,MINS,PAS,PEN,R,S,SAV,TA,Y,position,team,field,opponent,kickoff,attendance
E. Jakupovic,0,0,0,0,0,0,0,1,11,90,0,0,0,0,4,0,0,goalkeeper,Hull City,home,Leicester City,8/13/2016,21037
A. Elmohamady,1,0,1,0,0,0,0,0,0,90,0,0,0,0,0,1,0,defender,Hull City,home,Leicester City,8/13/2016,21037
A. Robertson,0,0,1,0,1,0,0,0,0,90,0,0,0,0,0,3,0,defender,Hull City,home,Leicester City,8/13/2016,21037
C. Davies,15,0,1,0,1,0,0,0,0,90,0,0,0,2,0,1,1,defender,Hull City,home,Leicester City,8/13/2016,21037
J. Livermore,3,0,0,0,0,0,0,0,0,90,0,0,0,0,0,1,0,defender,Hull City,home,Leicester City,8/13/2016,21037
D. Meyler,0,0,0,0,2,0,0,0,0,90,44,0,0,1,0,0,0,midfielder,Hull City,home,Leicester City,8/13/2016,21037
Sam Clucas,0,0,1,0,3,0,0,0,0,90,50,0,0,0,0,0,1,midfielder,Hull City,home,Leicester City,8/13/2016,21037
T. Huddlestone,0,0,2,1,1,0,0,0,0,90,31,0,0,1,0,0,0,midfielder,Hull City,home,Leicester City,8/13/2016,21037
A. Diomande,0,0,1,0,3,1,0,0,0,90,28,0,0,1,0,0,0,forward,Hull City,home,Leicester City,8/13/2016,21037
A. Hernández,0,0,1,0,1,0,1,0,0,90,15,0,0,3,0,0,0,forward,Hull City,home,Leicester City,8/13/2016,21037
R. Snodgrass,0,5,0,3,5,1,0,0,0,90,33,0,0,4,0,0,0,forward,Hull City,home,Leicester City,8/13/2016,21037
D. Amartey,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,substitute,Leicester City,away,Hull City,8/13/2016,21037
L. Ulloa,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,substitute,Leicester City,away,Hull City,8/13/2016,21037
S. Okazaki,0,0,1,0,1,0,0,0,0,22,0,0,0,0,0,0,0,substitute,Leicester City,away,Hull City,8/13/2016,21037
K. Schmeichel,0,0,0,0,0,0,0,2,9,90,0,0,0,0,3,0,0,goalkeeper,Leicester City,away,Hull City,8/13/2016,21037
C. Fuchs,3,0,1,0,0,0,0,0,0,90,0,0,0,1,0,3,1,defender,Leicester City,away,Hull City,8/13/2016,21037
D. Simpson,2,0,3,0,0,0,0,0,0,83,0,0,0,0,0,0,1,defender,Leicester City,away,Hull City,8/13/2016,21037
L. Hernández,4,0,1,0,1,0,0,0,0,90,0,0,0,0,0,0,0,defender,Leicester City,away,Hull City,8/13/2016,21037
W. Morgan,1,0,1,0,0,0,0,0,0,90,0,0,0,0,0,0,0,defender,Leicester City,away,Hull City,8/13/2016,21037
A. King,0,0,1,0,1,0,0,0,0,68,36,0,0,0,0,0,0,midfielder,Leicester City,away,Hull City,8/13/2016,21037
D. Drinkwater,0,0,1,0,0,0,0,0,0,90,76,0,0,3,0,0,0,midfielder,Leicester City,away,Hull City,8/13/2016,21037
D. Gray,0,1,1,0,1,0,0,0,0,68,20,0,0,1,0,0,0,midfielder,Leicester City,away,Hull City,8/13/2016,21037
R. Mahrez,0,2,1,1,3,1,0,0,0,90,48,1,0,4,0,0,0,midfielder,Leicester City,away,Hull City,8/13/2016,21037
A. Musa,0,0,4,0,1,0,0,0,0,90,24,0,0,2,0,0,0,forward,Leicester City,away,Hull City,8/13/2016,21037
J. Vardy,0,0,1,0,0,0,0,0,0,90,10,0,0,1,0,0,0,forward,Leicester City,away,Hull City,8/13/2016,21037
J. Berg Gudmundsson,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,substitute,Burnley,home,Swansea City,8/13/2016,19126
L. Jutkiewicz,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,substitute,Burnley,home,Swansea City,8/13/2016,19126
Tom Heaton,0,0,0,0,0,0,0,1,9,90,0,0,0,0,7,0,0,goalkeeper,Burnley,home,Swansea City,8/13/2016,19126
B. Mee,5,0,0,0,1,0,0,0,0,90,0,0,0,0,0,4,0,defender,Burnley,home,Swansea City,8/13/2016,19126
M. Lowton,2,0,1,0,0,0,0,0,0,90,0,0,0,1,0,2,1,defender,Burnley,home,Swansea City,8/13/2016,19126
Michael Keane,4,0,0,0,2,0,0,0,0,90,0,0,0,0,0,0,0,defender,Burnley,home,Swansea City,8/13/2016,19126
S. Ward,4,0,3,0,1,0,0,0,0,90,0,0,0,0,0,4,1,defender,Burnley,home,Swansea City,8/13/2016,19126
D. Jones,0,6,1,0,0,0,0,0,0,87,32,0,0,0,0,0,1,midfielder,Burnley,home,Swansea City,8/13/2016,19126
D. Marney,0,0,3,0,3,0,0,0,0,90,32,0,0,2,0,0,0,midfielder,Burnley,home,Swansea City,8/13/2016,19126
G. Boyd,0,0,1,0,0,0,0,0,0,90,20,0,0,0,0,0,0,midfielder,Burnley,home,Swansea City,8/13/2016,19126
S. Arfield,0,0,1,0,0,0,0,0,0,75,20,0,0,0,0,0,0,midfielder,Burnley,home,Swansea City,8/13/2016,19126
A. Gray,0,0,0,0,2,0,0,0,0,90,13,0,0,4,0,0,0,forward,Burnley,home,Swansea City,8/13/2016,19126
S. Vokes,0,0,0,0,4,0,0,0,0,90,35,0,0,1,0,0,0,forward,Burnley,home,Swansea City,8/13/2016,19126
A. Rangel,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,substitute,Swansea City,away,Burnley,8/13/2016,19126
G. Sigurdsson,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,substitute,Swansea City,away,Burnley,8/13/2016,19126
J. Montero,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0,0,0,substitute,Swansea City,away,Burnley,8/13/2016,19126
L. Fabianski,0,0,0,0,0,0,0,0,9,90,0,0,0,0,3,0,0,goalkeeper,Swansea City,away,Burnley,8/13/2016,19126
Federico Fernández,11,0,2,0,0,0,0,0,0,90,0,0,0,1,0,1,1,defender,Swansea City,away,Burnley,8/13/2016,19126
