player,CLR,COR,FC,FK,FS,G,GA,GC,GK,MINS,PAS,PEN,R,S,SAV,TA,Y,position,team,field,opponent,kickoff,attendance
D. Perotti,0,0,0,0,0,2,0,0,0,33,0,2,0,0,0,0,0,substitute,Roma,home,Udinese,8/20/2016,0
F. Fazio,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,substitute,Roma,home,Udinese,8/20/2016,0
Juan Jesus,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,substitute,Roma,home,Udinese,8/20/2016,0
W. Szczesny,0,0,0,0,0,0,0,0,11,90,0,0,0,0,1,0,0,goalkeeper,Roma,home,Udinese,8/20/2016,0
Bruno Peres,2,0,4,0,1,0,0,0,0,90,0,0,0,3,0,1,0,defender,Roma,home,Udinese,8/20/2016,0
Emerson,2,1,0,0,1,0,0,0,0,76,0,0,0,0,0,1,0,defender,Roma,home,Udinese,8/20/2016,0
K. Manolas,5,0,0,0,1,0,0,0,0,80,0,0,0,2,0,2,0,defender,Roma,home,Udinese,8/20/2016,0
T. Vermaelen,4,0,1,0,1,0,0,0,0,90,0,0,0,0,0,1,0,defender,Roma,home,Udinese,8/20/2016,0
K. Strootman,0,0,0,0,1,0,0,0,0,90,72,0,0,0,0,0,0,midfielder,Roma,home,Udinese,8/20/2016,0
L. Paredes,0,4,0,0,2,0,0,0,0,89,56,0,0,0,0,0,0,midfielder,Roma,home,Udinese,8/20/2016,0
R. Nainggolan,0,0,1,0,1,0,1,0,0,90,46,0,0,3,0,0,0,midfielder,Roma,home,Udinese,8/20/2016,0
E. Dzeko,0,0,1,0,3,1,0,0,0,90,21,0,0,5,0,0,0,forward,Roma,home,Udinese,8/20/2016,0
M. Salah,0,5,1,0,3,1,0,0,0,90,40,0,0,4,0,0,0,forward,Roma,home,Udinese,8/20/2016,0
S. El Shaarawy,0,0,0,0,0,0,0,0,0,57,37,0,0,1,0,0,0,forward,Roma,home,Udinese,8/20/2016,0
A. Peñaranda,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,substitute,Udinese,away,Roma,8/20/2016,0
F. Lodi,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,substitute,Udinese,away,Roma,8/20/2016,0
G. Angella,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,substitute,Udinese,away,Roma,8/20/2016,0
O. Karnezis,0,0,0,0,0,0,0,4,18,90,0,0,0,0,5,0,0,goalkeeper,Udinese,away,Roma,8/20/2016,0
Danilo,6,0,1,0,0,0,0,0,0,90,0,0,0,0,0,0,1,defender,Udinese,away,Roma,8/20/2016,0
Samir,3,0,2,0,3,0,0,0,0,90,0,0,0,0,0,1,1,defender,Udinese,away,Roma,8/20/2016,0
T. Heurtaux,2,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,defender,Udinese,away,Roma,8/20/2016,0
Ali Adnan,0,0,2,0,1,0,0,0,0,90,10,0,0,0,0,0,0,midfielder,Udinese,away,Roma,8/20/2016,0
E. Badu,0,0,2,0,1,0,0,0,0,90,23,0,0,0,0,0,0,midfielder,Udinese,away,Roma,8/20/2016,0
E. Hallfredsson,0,1,3,0,0,0,0,0,0,90,18,0,0,1,0,0,0,midfielder,Udinese,away,Roma,8/20/2016,0
S. Fofana,0,0,2,0,0,0,0,0,0,79,16,0,0,0,0,0,0,midfielder,Udinese,away,Roma,8/20/2016,0
S. Widmer,0,0,0,0,1,0,0,0,0,90,16,0,0,0,0,0,0,midfielder,Udinese,away,Roma,8/20/2016,0
D. Zapata,0,0,2,0,1,0,0,0,0,90,19,0,0,1,0,0,0,forward,Udinese,away,Roma,8/20/2016,0
R. de Paul,0,3,0,0,0,0,0,0,0,68,13,0,0,2,0,0,0,forward,Udinese,away,Roma,8/20/2016,0
G. Higuaín,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,substitute,Juventus,home,Fiorentina,8/20/2016,0
Hernanes,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,substitute,Juventus,home,Fiorentina,8/20/2016,0
P. Evra,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,substitute,Juventus,home,Fiorentina,8/20/2016,0
